sample	lactate	fumarate	succinate	pyruvate	2-HG	malate	phenylalanine	glucose	leucine	tryptophan	valine	methionine	tyrosine	proline	glutamate	alanine	aspartate	threonine	glutamine	asparagine	serine	glycine	histidine	arginine	lysine	xanthine	hypoxanthine	urea
UOK262	6.932054E-03	4.191662E-05	2.872667E-05	-3.729795E-04	2.093422E-06	4.976543E-07	2.381227E-05	-1.167464E-03	2.861146E-05	2.822252E-06	2.044947E-04	2.829347E-06	6.728335E-05	1.180939E-05	1.719986E-04	6.100624E-05	5.932327E-07	6.315390E-05	-9.777114E-05	5.407722E-07	-2.972493E-05	3.155566E-05	4.808200E-07	-6.929258E-06	1.561854E-05	1.322891E-06	-4.988142E-05	-2.208151E-05
UOK262	6.897345E-03	4.257845E-05	2.551540E-05	-3.648772E-04	3.470752E-06	1.255718E-07	4.161944E-05	-6.321925E-04	6.896437E-06	2.732397E-06	1.934865E-04	-2.021186E-06	5.050917E-05	8.059715E-06	1.627484E-04	5.798426E-05	2.815551E-07	5.178241E-05	-1.390579E-04	3.027325E-07	-5.787838E-05	2.116917E-05	4.799367E-06	1.387208E-05	4.265744E-05	1.610962E-06	-4.755796E-05	1.856154E-05
UOK262	7.569154E-03	4.447027E-05	3.324358E-05	-3.102978E-04	4.107833E-06	1.683521E-07	7.862476E-05	-1.134955E-04	4.839202E-05	1.048443E-05	2.064064E-04	5.986880E-06	4.085284E-05	7.681283E-06	1.664436E-04	6.509539E-05	6.884878E-07	6.552374E-05	-3.605474E-05	4.081988E-07	-2.559123E-05	3.196291E-05	1.231820E-05	3.360465E-05	8.280934E-05	2.065049E-06	-4.397430E-05	1.208874E-04
UOK262	6.891491E-03	4.375430E-05	3.296584E-05	-3.832892E-04	4.229112E-06	3.798416E-07	5.145684E-05	-3.928067E-04	2.502326E-05	5.448884E-06	1.801317E-04	6.341625E-06	5.246269E-05	8.331396E-06	1.565887E-04	5.923064E-05	5.579349E-07	3.878645E-05	-9.935130E-05	1.662813E-07	-5.236598E-05	2.762926E-05	4.609965E-06	1.602221E-05	5.427141E-05	1.744479E-06	-4.624662E-05	2.923800E-05
UOK262	5.677211E-03	3.513570E-05	1.592016E-05	-4.995364E-04	-3.069707E-07	2.867877E-07	-2.532323E-05	-3.335865E-03	-6.042050E-05	-7.522120E-06	8.298876E-05	-5.968519E-06	4.468059E-05	1.173905E-05	1.490452E-04	5.161251E-05	1.321206E-08	8.821002E-06	-2.045668E-04	1.009242E-07	-8.880490E-05	5.394305E-06	-3.234629E-06	-2.241542E-05	-3.328600E-05	1.988754E-07	-4.834347E-05	-1.292750E-04
UOK262pFH	5.265342E-03	6.386897E-06	8.001845E-06	-8.578199E-04	3.683269E-06	4.968472E-07	6.254783E-06	-4.360476E-03	4.136714E-05	6.054865E-06	-8.934325E-05	3.181204E-07	-1.743280E-05	6.998394E-06	1.156482E-04	8.199982E-05	4.425824E-06	7.177201E-05	-3.109947E-04	4.042747E-06	-5.327216E-05	2.748265E-05	6.641624E-06	2.543164E-05	4.390679E-05	-1.163422E-06	-5.783463E-05	6.242587E-05
UOK262pFH	4.335605E-04	4.654150E-06	-6.654172E-06	-1.852367E-03	8.632164E-07	1.218430E-07	-8.158619E-05	-7.683406E-04	-9.052831E-05	-9.977581E-06	-5.209054E-04	-2.410513E-05	-1.477721E-04	3.935050E-06	7.120531E-05	4.078708E-05	2.355091E-06	-7.938482E-05	-5.598547E-05	2.663363E-06	-1.554255E-04	-3.218066E-05	-1.973049E-05	-5.799030E-05	-1.207402E-04	1.583055E-06	-5.593778E-05	-3.803192E-05
UOK262pFH	1.308455E-03	6.597399E-06	7.355774E-06	-1.672853E-03	4.518647E-06	5.956266E-07	6.692098E-05	-5.787545E-03	6.179907E-05	5.537872E-06	-4.370544E-04	7.397888E-06	-1.165352E-04	4.534699E-06	1.191113E-04	7.777257E-05	5.035363E-06	6.417754E-05	-4.075808E-04	3.794244E-06	-4.919509E-05	3.587768E-05	4.049332E-07	1.443493E-05	6.881728E-05	-1.013605E-06	-6.042392E-05	6.326826E-05
UOK262pFH	8.345849E-03	4.117705E-06	-1.279764E-05	-6.470598E-04	-1.405302E-07	1.930567E-07	-7.510122E-05	-2.925997E-03	-1.318881E-04	-2.337118E-05	5.792769E-05	-2.517417E-05	1.680909E-05	4.823984E-06	7.549472E-05	3.197367E-05	2.220312E-06	-1.025743E-04	-2.135373E-04	2.909783E-06	-1.732945E-04	-4.060275E-05	-2.175680E-05	-8.159241E-05	-1.457051E-04	6.901754E-07	-5.841632E-05	4.001732E-05
UOK262pFH	3.129470E-03	6.502400E-06	4.351933E-06	-2.007733E-04	4.477799E-06	5.179053E-07	8.719991E-07	-2.137754E-03	-3.834383E-05	-5.027487E-06	1.611584E-04	-3.790277E-06	5.861254E-05	7.223762E-06	1.108283E-04	6.920527E-05	3.832792E-06	2.422900E-05	-4.034894E-05	3.399921E-06	-1.033739E-04	-5.364668E-06	-1.169579E-08	-5.211161E-06	-2.401547E-05	5.781801E-07	-4.166605E-05	1.345980E-04
