logFC	AveExpr	t	P.Value	adj.P.Val	B	p.value.log10
P08670	4.60464804681333	-0.09365895627	21.1974879551248	2.90200945956723e-07	0.000327371649756187	7.63200307561764	3.48495893301068
P02735	-3.565894067686	-1.15126456558033	-18.4097275349017	7.18658147481606e-07	0.000327371649756187	6.82876658057911	3.48495893301068
P02511	-1.91705353929493	-0.895057437282533	-18.1290844867001	7.93093739978592e-07	0.000327371649756187	6.73850194454633	3.48495893301068
P22695	-1.38511508740227	-0.535657380458867	-17.9021804033554	8.59807353266415e-07	0.000327371649756187	6.6641238907539	3.48495893301068
Q14240	1.24414680115867	-0.334550300784	16.6613935618831	1.36185676449512e-06	0.000414821570465212	6.2339245623753	3.38213866865126
Q9NQ88	-1.49702974782633	-0.731189896470167	-14.4345827160185	3.39815244262176e-06	0.000862564361685491	5.34800598128723	3.06420848943499
P07954	-1.47732796777037	-0.500123986721483	-13.98271035285	4.15809330864051e-06	0.00087604985852161	5.14758577054194	3.05747117617824
P56199	1.29822360701567	-1.11814018403883	13.572460781	5.02131297334324e-06	0.00087604985852161	4.95882635269526	3.05747117617824
O75380	-1.61689858049733	-1.704529663808	-13.4211473826771	5.39041503609848e-06	0.00087604985852161	4.88750272079908	3.05747117617824
P14406	-1.42839020442133	0.169278913353667	-13.2839861115806	5.75213301721346e-06	0.00087604985852161	4.82203347366339	3.05747117617824
P04179	-1.67826239637667	0.339546921685	-12.6565689013352	7.80606513129205e-06	0.00108078519954162	4.51226429099244	2.96626061124862
P10606	-1.79055355475907	-0.85806090750956	-15.2751428873423	9.89149162404319e-06	0.0011967187619461	4.39720630183148	2.92200790012468
P42224	-1.42700742518067	-0.526853059913	-12.09013391395	1.04115099866712e-05	0.0011967187619461	4.21722633405215	2.92200790012468
P31930	-1.116013563301	-0.383799021216833	-11.9845833310752	1.10006977460574e-05	0.0011967187619461	4.16054056351247	2.92200790012468
P55809	-1.01346495840767	-0.9369583173095	-11.4448694993162	1.46818363646755e-05	0.00149069578556005	3.86182774102757	2.82661097635435
Q9UDY2	-0.963265448599667	-0.838439267230167	-10.8736510469285	2.02069836227583e-05	0.0019234522535913	3.52858450569786	2.71591858984024
P29966	0.93220623977719	-0.507335380775738	10.7272571960693	2.19846887720264e-05	0.00196956947057625	3.44017618496927	2.70562869616694
P13796	-0.863104529616667	0.776380097785	-10.4957636136413	2.51744279611688e-05	0.00202270721559588	3.29775670605792	2.69406697627684
Q1KMD3	1.649978716216	-0.564062599265333	10.4907055026833	2.52498194569983e-05	0.00202270721559588	3.29460835394273	2.69406697627684
P17812	-1.33828400187713	-0.546006490424767	-10.3462531750241	2.75160721025913e-05	0.00202270721559588	3.20402453827421	2.69406697627684
Q9Y6U3	-2.72067103410667	-1.93135469978333	-10.3237164937167	2.78902505105144e-05	0.00202270721559588	3.18977412352732	2.69406697627684
Q9GZM7	-1.1727128702517	-0.735499584117483	-10.1758396409798	3.04951205808923e-05	0.00205424940481626	3.09546567731419	2.68734683018374
Q04695	2.68535924301233	-1.06364127268383	10.1476452476659	3.10228078206001e-05	0.00205424940481626	3.07732496403129	2.68734683018374
P17174	-0.815977553869	-0.1445112444375	-9.74394205390122	3.98513646563342e-05	0.00245034846508423	2.81179677006642	2.61077215004286
O95433	1.02700051520753	0.651561038246233	9.72928114067156	4.02223976540419e-05	0.00245034846508423	2.80194581344394	2.61077215004286
P42765	0.7526100856575	-0.32347569647125	9.58284223532655	4.41536212962597e-05	0.00258638327823859	2.70272689400438	2.58730711623449
P14854	-1.022929456302	0.0123087720973333	-9.33055334727403	5.2004032696259e-05	0.00280134363270514	2.52820038067713	2.55263361426319
Q15599	1.05764336149233	-0.343419351396833	9.29965386455825	5.30710069434986e-05	0.00280134363270514	2.50650560141801	2.55263361426319
Q16270	-1.12429760956433	-0.942107702367833	-9.29193577253522	5.33414086332561e-05	0.00280134363270514	2.50107561946711	2.55263361426319
P52292	-0.666850739873667	-0.505315753101167	-9.13622147298722	5.91480834707172e-05	0.00300275103753008	2.39057146555239	2.52248067429755
P32004	1.18558775700767	-1.18310556410617	8.96287264845048	6.64799878099083e-05	0.00326609746562872	2.26537775667095	2.4859708593565
O43396	0.6263584009873	-0.384842513118683	8.58928836522087	8.61032860141592e-05	0.00409797826873639	1.98747986423121	2.38743034895896
Q8IYS1	1.22459993810533	-1.4168541741668	9.57975530294156	0.000119816206224172	0.0052137166308404	1.89999078186585	2.28285257673628
P48681	2.48109990616167	-0.855242092799167	8.43658878317377	9.59722681558987e-05	0.00442926558792223	1.87058479742632	2.35366827773942
P17655	-0.7190373417633	-0.256112084624683	-8.25241496980597	0.000109638324401487	0.00491115200186662	1.72694135457501	2.30881662409476
Q05682	0.608268224181	-0.499673178015833	8.0427799459056	0.000127972358641601	0.00541394172808773	1.55979952113613	2.26648642298482
P09497	-0.5591606125239	0.214358282109717	-7.9201576638584	0.000140307670007364	0.00550486209895225	1.46018394776769	2.2592535559682
P09874	-1.20288702449867	-0.657728959774	-7.91501712214754	0.00014085364745611	0.00550486209895225	1.45597751670014	2.2592535559682
O95841	-0.684407940816667	0.787939356551667	-7.88249284571791	0.000144364699605437	0.00550486209895225	1.42930621163934	2.2592535559682
P00167	0.677524426646	-0.106800910725333	7.88053295994996	0.000144579437923894	0.00550486209895225	1.42769586052477	2.2592535559682
Q9UHC1	0.834604413580667	-1.19498974369967	7.74413365258679	0.000160458729481237	0.00596045475609571	1.31473155868263	2.22472060426502
P11047	-0.624743032202333	-0.9658942536855	-7.57028543542808	0.000183658770323028	0.00665981683814217	1.1681607143265	2.17653771486544
P40261	-0.74445812695108	0.28220735550146	-7.52278564072683	0.000190646351762755	0.00675242776127152	1.1275983030328	2.17054005327883
Q9Y6H1	0.568157895097667	0.7168483193295	7.45258329738469	0.000201534932801821	0.00697585687857212	1.06723723941347	2.15640243826528
