logFC	AveExpr	t	P.Value	adj.P.Val	B	p.value.log10
P02511	-1.80129159414906	-1.06277348127976	-22.3454236315075	2.69712544806981e-07	0.000260793907543055	7.72224611311378	3.58370255845905
P08670	4.12167013715491	-0.313016389679787	21.5142672774877	3.42473942932443e-07	0.000260793907543055	7.51651618019409	3.58370255845905
P22695	-1.26128473991939	-0.693508738476285	-18.4546160624886	8.98191998858071e-07	0.000447010080926412	6.64875412423756	3.34968268259212
O95433	1.20177067449698	0.117201897734669	17.682579734026	1.17402516329984e-06	0.000447010080926412	6.39803649432937	3.34968268259212
Q14240	1.10239707048845	-0.520233021219111	16.5611907234579	1.76868125698394e-06	0.000538740310877309	6.0070839680594	3.26862052744905
P02735	-3.17584918102143	-1.64083489756782	-15.7855683051646	2.38589787151821e-06	0.000605620409720372	5.71629705412943	3.21779949731318
Q9NQ88	-1.3594414970585	-0.868342080429097	-14.7637581059089	3.61880408081514e-06	0.000787348373583066	5.30491125805832	3.10383306529262
P14406	-1.30023557907259	-0.0737453703284884	-14.0791383141511	4.85918869404897e-06	0.000820972101435012	5.00948996872502	3.08567160097885
P42224	-1.31187172659786	-0.696227813784516	-13.935112853798	5.17892931530117e-06	0.000820972101435012	4.94516779443519	3.08567160097885
P07954	-1.34487031945416	-0.660600643235242	-13.8453368927096	5.39049311513468e-06	0.000820972101435012	4.9046769392304	3.08567160097885
O75380	-1.45636882017019	-1.74375904174427	-13.6289737632063	5.94259764127953e-06	0.000822779655242612	4.80581746364235	3.08471645558342
P56199	1.16052270637188	-1.22533306780575	13.0435593214808	7.79487212710516e-06	0.000989299187465096	4.5289530403532	3.00467234761881
P10606	-1.62569764826799	-0.983373547728647	-16.1957485213635	9.09765344654338e-06	0.00106582509223735	4.50012745319827	2.97231405957649
P31930	-1.02044648767554	-0.557465183988323	-11.7885274817892	1.45224101878831e-05	0.00154717830380919	3.88492051253136	2.81045963336062
Q9UDY2	-0.877555921419662	-0.966672544155281	-11.5445173716413	1.65066409681911e-05	0.00154717830380919	3.75093652650122	2.81045963336062
P55809	-0.921681352205516	-1.0552642575108	-11.5202631050798	1.67203845941664e-05	0.00154717830380919	3.7374516208877	2.81045963336062
P13796	-0.804076846741652	0.484391402888286	-11.4595119208044	1.72698825769903e-05	0.00154717830380919	3.70354045974399	2.81045963336062
P29966	0.828765915617271	-0.676894466898807	11.1832772874665	2.00455304612457e-05	0.00169607460513762	3.54687742743527	2.77055504837236
P17812	-1.21915395060641	-0.702458783752393	-10.7414746485485	2.56238713386022e-05	0.00205395558151006	3.28757698001456	2.68740895261492
Q9Y6U3	-2.44530126343266	-1.94461695613029	-10.5444302619376	2.867426180335e-05	0.00209711088365511	3.16830386811136	2.67837860583108
P04179	-1.4962340286477	0.0714031913023199	-10.5291877039702	2.89271244999041e-05	0.00209711088365511	3.15898116486327	2.67837860583108
Q1KMD3	1.46872635369118	-0.727198088205238	10.4494090978978	3.02931316089379e-05	0.00209711088365511	3.10995799810324	2.67837860583108
Q04695	2.40730059806324	-1.1799968930019	10.0706317692224	3.78799641776009e-05	0.0024089055424211	2.87183554316009	2.61818022914635
P17174	-0.753412045769143	-0.343136639153059	-10.0670955399143	3.79604287709169e-05	0.0024089055424211	2.86956968574259	2.61818022914635
Q16270	-1.01659941658028	-1.09079058628472	-9.38519420132716	5.78991200460006e-05	0.00352721439320236	2.41701407492496	2.45256814198974
P42765	0.659625650616049	-0.508758294357066	9.08095456548609	7.05181236922168e-05	0.00391983971677383	2.20453351052719	2.40673169102644
