sample	Methionine	Serine	Leucine	Valine	Phenylalanine	Tyrosine	Tryptophan	Proline	Threonine	Lysine	Asparagine	Glutamate	Glutamine	Aspartate	Alanine	Arginine	Glycine	Glucose	Lactate	Pyruvate	Fumarate	Succinate
UOK262	-5.663263E-05	-1.613207E-04	-3.921395E-04	-1.628009E-04	-1.261779E-04	-1.711418E-04	-1.873317E-05	1.487593E-05	-1.166672E-04	-1.633656E-04	4.561589E-06	2.104077E-04	-1.011100E-03	-5.382869E-07	1.839997E-05	-2.274241E-04	-6.459244E-05	-4.347465E-03	4.862420E-03	-3.490416E-04	4.053355E-06	-4.853843E-06
UOK262	-1.475668E-04	-2.349112E-04	-8.981775E-04	-4.395691E-04	-2.874709E-04	-3.317326E-04	-3.745792E-05	3.569022E-06	-3.830019E-04	-4.500497E-04	2.913863E-09	1.619391E-04	-1.490319E-03	-1.493714E-06	-9.607225E-06	-3.898018E-04	-1.654422E-04	-3.588743E-03	3.160133E-03	-5.182730E-04	7.725451E-06	1.040064E-05
UOK262	-1.604747E-04	-3.027049E-04	-8.766718E-04	-4.724413E-04	-2.424340E-04	-3.550097E-04	-4.190907E-05	2.644633E-06	-3.931614E-04	-4.481597E-04	-1.336561E-07	1.246068E-04	-1.885896E-03	-2.681660E-06	-2.395005E-06	-2.909737E-04	-1.937365E-04	-2.246837E-03	3.554177E-03	-5.020492E-04	1.792776E-07	-2.016718E-05
UOK262	-8.735864E-05	-1.903459E-04	-6.149259E-04	-3.095795E-04	-1.835311E-04	-2.447700E-04	-2.689083E-05	6.110126E-06	-2.392099E-04	-2.245741E-04	-1.765478E-07	2.037242E-04	-1.098594E-03	-2.159965E-06	1.078565E-05	-1.647338E-04	-1.304406E-04	-1.394224E-03	4.680756E-03	-3.959445E-04	9.559292E-06	2.113221E-05
UOK262	-6.257596E-05	-1.522685E-04	-3.477592E-04	-2.353395E-04	-1.324014E-04	-1.716626E-04	-1.728207E-05	1.153387E-05	-1.237507E-04	-2.283738E-04	-8.361192E-08	1.993220E-04	-1.034669E-03	-4.236350E-07	1.065676E-05	-1.024865E-04	-7.805221E-05	-3.986775E-03	3.722616E-03	-3.561261E-04	3.050741E-06	-6.919701E-06
UOK262pFH	-4.393266E-05	-8.644794E-05	-2.169204E-04	-1.262349E-04	-8.371557E-05	-9.276562E-05	-1.079915E-05	2.860144E-06	-6.578110E-05	-1.614972E-04	1.386293E-07	3.206399E-05	-5.326268E-04	2.825685E-07	2.145742E-05	-1.348596E-04	-3.278105E-05	-7.682826E-04	2.379699E-03	-2.400645E-04	6.430676E-07	1.027824E-05
UOK262pFH	-5.036826E-05	-1.462722E-04	-3.562786E-04	-1.888377E-04	-1.309734E-04	-1.701943E-04	-1.966896E-05	-3.077500E-07	-1.798202E-04	-1.871220E-04	2.071497E-07	1.875517E-05	-7.782614E-04	-7.155042E-07	1.168448E-05	-1.319134E-04	-1.044545E-04	-1.118693E-03	1.736175E-03	-3.244285E-04	3.579517E-07	4.056104E-06
UOK262pFH	-9.470829E-05	-1.402549E-04	-5.522361E-04	-3.080546E-04	-1.995525E-04	-2.409397E-04	-2.522938E-05	-3.476338E-06	-2.376350E-04	-2.953851E-04	1.508310E-07	1.851252E-05	-8.736374E-04	-7.256961E-07	7.885612E-07	-1.943784E-04	-9.991894E-05	-8.065838E-04	1.830923E-03	-3.206586E-04	3.108636E-07	2.639573E-06
UOK262pFH	-8.409372E-05	-1.587946E-04	-5.402835E-04	-2.704237E-04	-1.900760E-04	-1.987495E-04	-2.442678E-05	-2.513876E-06	-2.467021E-04	-1.824605E-04	1.426768E-07	1.662979E-05	-9.803738E-04	-7.583278E-07	5.903707E-06	-1.206731E-04	-1.239230E-04	-2.589627E-03	2.253343E-03	-3.168928E-04	0.000000E+00	-1.380501E-05
UOK262pFH	-6.003532E-07	-5.758472E-05	-4.393505E-05	-4.631519E-05	-2.385799E-05	-4.595016E-05	-4.314620E-06	4.857325E-06	-1.836043E-05	-5.667337E-05	1.571896E-07	4.314627E-05	-2.255026E-04	9.781013E-07	3.322810E-05	-5.085595E-05	-1.761592E-05	-4.978082E-04	2.955738E-03	-1.972648E-04	0.000000E+00	-1.237901E-05
