gene,fc(1),fc(2),fc(3),fc,pval,t,fdr
A2M,1.90823424021,2.17340477038,2.05700661231,2.04621520764,0.00140347305078,26.6649298826,0.023974699672
AAAS,-0.242365595589,-0.198152712874,-0.20302452254,-0.214514277001,0.00423022627292,-15.3262857176,0.030509805258
AACS,0.824136674936,0.638002343095,0.614085635881,0.692074884637,0.00907748342382,10.4242491603,0.038000393907
AAED1,0.301259939941,0.281101305613,0.299607510157,0.293989585237,0.00048275261086,45.4967524065,0.0220414880638
AAGAB,0.512223897759,0.301565408173,0.344173863047,0.385987722993,0.0266508532788,6.002416469,0.0646442898314
AAK1,0.211642388709,-0.0313835423356,0.0349517569128,0.0717368677621,0.426862948496,0.989113143889,0.495637398662
AAMDC,0.413991596222,0.38066113257,0.268833985672,0.354495571488,0.014990643848,8.07539791469,0.0474522179975
AAMP,0.488720540956,0.327558560591,0.158661180818,0.324980094122,0.0762686075037,3.41048054389,0.128842445825
AAR2,0.206618162496,0.182037178084,0.176022760804,0.188226033795,0.00246291198865,20.1127834294,0.026770602289
AARS,0.517881483463,0.271714194731,0.398920528404,0.396172068866,0.0307114904246,5.57394837733,0.0700428190651
AARS2,0.00412084361768,0.140250842888,-0.00180517083938,0.0475221718889,0.41341884443,1.02427559339,0.482574441401
AARSD1,0.0158654251283,-0.0876097774414,-0.236608741426,-0.10278436458,0.295793094508,-1.40268483439,0.367491594447
AASDH,-0.190114685253,-0.116892683644,-0.311067174785,-0.206024847894,0.0679112410454,-3.63904895296,0.11869692698
AASDHPPT,0.152538059397,0.0597734729663,0.0925354709317,0.101615667765,0.0645987370593,3.74123876816,0.114444435607
AASS,0.650810760556,0.660581647018,0.817522099665,0.709638169079,0.00574395450769,13.1376377816,0.0328490527463
AATF,-0.212866989538,-0.282610658603,-0.114294291807,-0.203257313316,0.0531457075617,-4.16291294426,0.099771628806
ABCA1,-0.17563987208,0.338551577797,-0.141837785827,0.0070246399632,0.970099746792,0.0423042583694,0.976440958776
ABCA12,-0.80579880858,-0.589974155526,-0.483822011098,-0.626531658401,0.0221041162824,-6.61407818288,0.0579511720583
ABCA2,0.0589819972417,0.085938998401,0.0490577060838,0.0646595672422,0.0278330688853,5.86818042859,0.0663954875887
ABCA3,-0.406751552559,-0.456385964582,-0.521996367639,-0.461711294926,0.00518448976303,-13.8341718677,0.0317282367759
ABCA4,-0.0760037567813,-0.439922744684,-0.309375722931,-0.275100741466,0.122746240272,-2.58448874577,0.182225246795
ABCA7,-0.67021489242,-0.311817166099,0.103655928373,-0.292792043382,0.320594654853,-1.3094473858,0.39207962337
ABCB1,-0.525894718161,-0.506263011219,-0.497331251157,-0.509829660179,0.000273694267342,-60.4335334295,0.0218920838262
ABCB10,-0.8581174829,-0.783444620942,-0.907329272915,-0.849630458919,0.00179183189274,-23.5921282806,0.0252254986701
ABCB11,-0.684901370451,-0.67427421871,-0.496263876666,-0.618479821942,0.0096453695652,-10.1083685147,0.0389482383797
ABCB6,-0.692338484223,-0.616765425611,-0.597945220872,-0.635683043569,0.00205253725642,-22.038656691,0.0259197744398
ABCB7,-0.0307349877339,-0.0800151766304,0.0566474943103,-0.0180342233513,0.695975736265,-0.451318730157,0.745419095062
ABCB8,-0.327577646783,-0.0191682658577,-0.271134904605,-0.205960272415,0.161933343447,-2.17242499065,0.225147051934
ABCC1,0.0218588893332,-0.129084982158,-0.0885201095551,-0.0652487341265,0.284900518532,-1.44673898111,0.356038940987
ABCC2,-0.497688319281,-0.465311651447,-0.588607356293,-0.51720244234,0.005053131818,-14.0142192156,0.0316101482546
ABCC3,-0.541938320459,-0.377928151609,-0.424384698713,-0.448083723594,0.0116568615318,-9.18092126827,0.0421404711472
ABCC4,-0.281063126695,-0.322331798607,-0.347795489961,-0.317063471754,0.0037394129838,-16.3071330784,0.0296807874204
ABCC5,0.328668662234,0.254876988767,0.35048763698,0.311344429327,0.0085225136174,10.7628255849,0.0372643177052
ABCD1,0.136674041331,0.231500614154,0.137459781762,0.168544812416,0.0331570205148,5.35424638234,0.0734406664947
ABCD3,-0.120517785963,-0.146327701013,-0.126164100063,-0.13100319568,0.0035567085221,-16.7230295961,0.0293396696747
ABCD4,-0.511964327326,-0.601932627464,-0.843645015701,-0.652513990164,0.0222675262769,-6.58893583962,0.058148579783
ABCE1,0.124576615277,0.0249104111747,0.0614360258666,0.0703076841061,0.137058259896,2.41515067491,0.198073089814
ABCF1,0.0468836692471,-0.0138761867231,0.0732884056322,0.0354319627187,0.303414986207,1.37303876137,0.374716088432
ABCF2,-0.176451402024,-0.21410654235,-0.229077903026,-0.206545282467,0.00569600097529,-13.1933011699,0.0328490527463
ABCF3,0.770134320769,0.794090087988,0.753508826319,0.772577745025,0.000232344260977,65.5931270252,0.0218920838262
ABHD10,0.823917584164,0.797271139933,0.892760243243,0.837982989113,0.00115051563007,29.4563370009,0.0234071999144
ABHD11,-0.100523483963,-0.0350025606412,-0.173447392344,-0.102991145649,0.12343091264,-2.57576892713,0.182987516348
ABHD12,0.0971688101077,0.289776947347,0.257263172716,0.214736310057,0.0689906811605,3.60729470754,0.119999743384
ABHD13,-0.0280350610074,0.0530750120341,-0.0639527916585,-0.0129709468773,0.743853870569,-0.37474763414,0.786053518265
ABHD14A,-0.125113641414,0.041978385796,0.0330830891726,-0.016684055482,0.787598351644,-0.307395299519,0.824546308311
ABHD14B,0.165337286028,0.175001211536,-0.198045960251,0.047430845771,0.736473671382,0.386338730725,0.77948540234
ABHD15,0.303180731666,0.40213561489,0.167674642753,0.290996996436,0.0504453823308,4.28209734225,0.0964538260252
ABHD16A,-0.102970804382,0.0750357119081,-0.155001725023,-0.0609789391656,0.473607550518,-0.875552587254,0.541073347254
ABHD17B,-0.323307677679,0.039719330982,-0.283858433028,-0.189148926575,0.241746637791,-1.64478218328,0.310771737655
