,fc,pval,t,fdr
A2M,0.00227383079842,0.984212021092,0.0210525822215,0.993502590622
A2ML1,0.158994930246,0.129590353321,1.90432845593,0.323729927373
AAAS,0.00216974602947,0.979262213686,0.027654787124,0.989371596484
AARS,-0.172389398844,0.0454692778532,-2.86998542573,0.173373765944
AASDHPPT,-0.299153584432,0.228187458889,-1.42163920769,0.451481222327
ABCB1,0.32252241905,0.0787681914668,2.34705739037,0.236704158851
ABCE1,-0.175968647881,0.374109836934,-0.999513608989,0.607894945513
ABCF1,-0.0677962356132,0.638345365927,-0.507751493925,0.803968042616
ABHD10,1.0042586996,0.0109346216142,4.4865615313,0.0764382120462
ABHD14B,-0.827620283882,0.235906579436,-1.39349941316,0.459908178768
ACAA1,-0.260605592375,0.690314891109,-0.428557846362,0.835399382177
ACAA2,0.781035682958,0.001273201994,8.08250690142,0.0272647297629
ACADM,-0.19014269096,0.0305029266314,-3.2799238763,0.135691806954
ACADVL,-0.215354256476,0.019305331233,-3.78780737158,0.106542203948
ACAT1,-0.231059425317,0.00993004481504,-4.61342438786,0.0728147081267
ACAT2,-0.343225673326,0.00214292223857,-7.04251898304,0.0331433265891
ACLY,0.0460589683803,0.572264266546,0.614255323576,0.762627488621
ACO1,0.0475706194385,0.0597341767463,2.60498302959,0.200663092594
ACO2,-0.338867803722,0.0295845203431,-3.31252375185,0.13401180824
ACOT13,-0.182898962204,0.329383094565,-1.10960179735,0.55947213597
ACP1,0.0274026928104,0.890275200168,0.146957204107,0.945097615848
ACSS3,0.0107705202285,0.965891655588,0.0454974027778,0.98058710263
ACTB,-0.0835936794593,0.751792357685,-0.338809255382,0.877290287028
ACTBL2,0.233994582932,0.0414206824626,2.96324841735,0.164784720474
ACTN1,-0.11079992566,0.0783705332329,-2.35169015219,0.236704158851
ACTN2,0.325135818807,0.0155572341532,4.0436344239,0.0943267321322
ACTN4,0.236317820649,0.00232581014381,6.89019228027,0.0331553851223
ACTR2,-0.103582137511,0.373930525514,-0.99993115194,0.607894945513
ACTR3,-0.131207729404,0.050559871443,-2.76557232912,0.181916400192
ADA,0.244821446021,0.37564313407,0.995950282057,0.607894945513
ADAM5,-0.000756118133388,0.99482356111,-0.00690198701767,0.99550169578
ADAR,-0.493070827503,0.00832436896039,-4.8524950583,0.0654676357507
ADH5,-0.116243834864,0.0797081500981,-2.33621095219,0.237893401565
ADK,0.358856426802,0.0120504665787,4.36123533326,0.0812656448988
ADSL,-0.521925010651,0.00551589831645,-5.44741724877,0.0550492082792
ADSS,-1.05288419,0.0486379114393,-2.80349714038,0.178501134982
AFF4,0.113722522329,0.914530483872,0.114269139351,0.963078013145
AFP,-0.00567690797087,0.954393609868,-0.0608554268591,0.977103580303
AGAP2,-0.308170264768,0.0328341190841,-3.20212889181,0.141370646412
AGGF1,-0.403219532265,0.110917320425,-2.04020854972,0.300034387415
AHCY,-0.258666713019,0.000587540085867,-9.88583905743,0.0212014559183
AHNAK,0.315325813991,0.00782848297498,4.93790560044,0.0629853018215
AHNAK2,0.063558961113,0.719092696737,0.386081299534,0.856781475321
AHSA1,1.24449625508,1.09061059953e-05,27.1733163565,0.00320203272022
AHSG,-0.0700019227603,0.700049132713,-0.414090500477,0.841664313532
AIF1L,-0.106473948579,0.434217935784,-0.86830822898,0.660671799664
AIFM1,-0.798034628127,0.00298568061468,-6.44316225566,0.0381128621074
AIMP1,-0.138508008458,0.00615078502428,-5.28463656812,0.0586321585432
