logFC,AveExpr,t,P.Value,adj.P.Val,B
SCD,-2.59955301479667,-0.779064933945,-79.5305860599747,7.60080363396089e-08,0.000290291353314383,8.83712471937435
MYADM,2.67738685226667,-2.79355142412,71.2707310647203,1.20526881206258e-07,0.000290291353314383,8.56181241632301
GAP43,2.54346497552567,-0.852404044507167,70.5841742450647,1.25532789232654e-07,0.000290291353314383,8.53601176335606
RAC3,3.36299617241667,-3.43091164507833,67.2493618900287,1.53857575202432e-07,0.000290291353314383,8.40337076148573
CNN1,2.54066649031833,0.718803847084167,62.777486037149,2.05464362865437e-07,0.000290291353314383,8.20440974609356
PROM1,-2.13428121049367,0.3677713016565,-60.4806547266987,2.40310985928056e-07,0.000290291353314383,8.09161031663281
CRIP2,2.2741835822439,-1.24623805827472,58.1582592110215,2.83297092501949e-07,0.000290291353314383,7.96936725882602
MRPL41,-1.90006692431637,-0.883339365501817,-57.5515851943096,2.96060879173198e-07,0.000290291353314383,7.93598545980946
NPPB,1.93919661386833,-1.7589733554725,56.831437482045,3.12149595900153e-07,0.000290291353314383,7.89554384330282
MAGEB2,-2.047704195261,0.626973848386167,-56.086905278981,3.29936412448138e-07,0.000290291353314383,7.85277621773004
A2M,1.904020997789,1.2989962945155,53.1154890671598,4.14731462493629e-07,0.000290291353314383,7.67182002235309
KRT17,1.73094786316,2.41575287230333,51.3242528054353,4.79031396124898e-07,0.000290291353314383,7.55419266954016
MRPL34,-2.38368648508667,-4.11493881995,-50.9446886902603,4.94205833346763e-07,0.000290291353314383,7.52838323471057
CALB2,-2.013783893921,0.3208841495695,-50.8614575293368,4.97612446573529e-07,0.000290291353314383,7.52268109333541
SLC27A2,2.116973355694,1.32827657266967,49.2955274771873,5.67475657600534e-07,0.000290291353314383,7.41245978892551
FHL2,1.55799229621433,1.20443897071283,48.2533463940803,6.20769833667591e-07,0.000290291353314383,7.33588971138706
ATF3,1.65199665575746,-0.752914991491272,47.7699866823133,6.47584999317978e-07,0.000290291353314383,7.29946595775353
COA6,-1.47158718648476,0.752442856834285,-46.8387854787096,7.03408769043702e-07,0.000290291353314383,7.22760937983236
LRRC7,2.01629591026967,-1.78804411622517,46.8335982361466,7.03736062387298e-07,0.000290291353314383,7.22720275936813
EIF4A2,1.58907128186433,1.55658334496117,46.3515356025969,7.34992338981425e-07,0.000290291353314383,7.18910135724394
PLIN4,1.84750709903333,-0.2398798485,45.8498783670271,7.69363945851852e-07,0.000290291353314383,7.14878353795135
NDUFC1,-1.44068720274,-2.97697668952,-45.7330739109567,7.77650547325291e-07,0.000290291353314383,7.13929671338505
ADAMTS5,1.8741201237667,0.913237973663317,45.2287359516914,8.14724166489538e-07,0.000290291353314383,7.09789651382824
CDH6,-1.977686681121,0.2623942022295,-45.1142660475945,8.23441260896323e-07,0.000290291353314383,7.08839974963199
ASMTL,1.38734786887967,-0.516735631300167,44.9570316022026,8.35603923986491e-07,0.000290291353314383,7.07529401512881
NDUFS4,-1.60847443504143,-0.89468577750595,-44.8331275671274,8.45345259634457e-07,0.000290291353314383,7.06491630816304
MAP1A,1.90756741947333,2.16270472108667,44.7600315310071,8.51157994743164e-07,0.000290291353314383,7.05877324933797
NDUFA4,-1.4202263060805,0.60032373402975,-43.9365804447509,9.20184962784222e-07,0.000290291353314383,6.988485262423
FILIP1L,1.77867168412133,1.72328856282933,43.3146661374659,9.76952807133125e-07,0.000290291353314383,6.9340487820295
NDUFB3,-1.80642320745,-2.63958898148167,-43.1756196622668,9.90232391489336e-07,0.000290291353314383,6.9217150248696
MAP3K7CL,1.49299565489638,-0.760054524378475,43.0674044815565,1.00072225652308e-06,0.000290291353314383,6.91207431635279
KYNU,1.691165330087,-0.180636417425167,43.0645105152166,1.00100466660132e-06,0.000290291353314383,6.91181599396324
SEMA6A,-1.49168063246033,-1.13925786913317,-42.1539273582752,1.09498307564769e-06,0.000307922513394261,6.8292109837464
SAA1,-1.295326481323,-0.493120693875167,-40.9358149316747,1.23843269605915e-06,0.000318954028931301,6.71443900207892
ELMO1,1.61291454156,-3.10816044978333,40.9092310544851,1.24181473077351e-06,0.000318954028931301,6.71187787718834
COX7A2,-2.05640528648567,-0.1771441743505,-40.4442031221393,1.302867353885e-06,0.000318954028931301,6.66667630419391
CA2,-1.89557642029533,0.263543639265667,-40.2851172779648,1.32460240144391e-06,0.000318954028931301,6.65103722641782
GNAI1,1.31790953671867,-1.25009639943067,40.2668419302544,1.32712789701618e-06,0.000318954028931301,6.64923485797601
MT-CO2,-1.39970072580033,0.4408989173365,-40.171275551683,1.34043180262077e-06,0.000318954028931301,6.63979028775677
PTPN6,1.432190670722,0.544703105205667,39.7955006495018,1.39437107093473e-06,0.000323494088456857,6.6023328963295
MRPL28,-1.211565081724,0.243915561821667,-39.1191197378714,1.49840132692351e-06,0.000339150349118297,6.53359842272828
ARV1,-1.34446757050733,-1.64607687350967,-38.4960999609721,1.60284729148839e-06,0.000345876529595384,6.46875142119652
PLEKHA7,1.21940632061233,1.48769248760717,37.850849044487,1.7206855350172e-06,0.000345876529595384,6.39998730073355
NES,1.93945385142667,3.30634128594667,37.6830382496991,1.7530720491905e-06,0.000345876529595384,6.3818299161413
KLC3,1.43974419118563,0.541598187270517,37.0659362254822,1.87884870329494e-06,0.000345876529595384,6.31406223834387
SCARF1,-1.83337932444433,-0.690763362951167,-37.0202377201214,1.88860011569384e-06,0.000345876529595384,6.30898061178964
JAM3,1.61857848104767,-0.5501414272995,36.8166806459167,1.93280457713845e-06,0.000345876529595384,6.286237809136
