genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112096	-3.4869126495133	8.66207752156667	-117.305446442446	2.73201602427494e-43	3.32950792878387e-39	88.4599803535905
ENSG00000026025	8.52357377136477	7.61406422294946	111.773156451348	1.25300652312715e-42	1.52703904973506e-38	87.0248670684618
ENSG00000134339	-4.96105781117999	5.96723382420548	-91.0636955841365	7.97489894572206e-40	9.71900934515148e-36	80.8305089903738
ENSG00000107438	4.71671144014745	6.19666932929267	87.2190439271454	3.10074734839285e-39	3.77888079348636e-35	79.5737086135127
ENSG00000154736	3.78333742471967	7.95746227124024	77.0656464399407	1.52168115029729e-37	1.85447281786731e-33	75.8953022501152
ENSG00000130600	7.96256325090815	6.13783903699246	69.3865435961379	4.11778107572307e-36	5.0183397969837e-32	72.6182246875907
ENSG00000163283	4.3089108967887	5.74801052663257	68.5156899063481	6.12199581044973e-36	7.46087629419508e-32	72.2075743946141
ENSG00000176014	4.07928919531478	5.69680636314678	65.5998253934958	2.39725649213461e-35	2.92153648696445e-31	70.868046716551
ENSG00000143799	-1.6207617670979	7.8333904416506	-63.2736591542821	7.44015550173038e-35	9.06731750995882e-31	69.7927309759807
ENSG00000143753	-2.01623717399847	6.81097235423957	-63.2499841441246	7.52799168734142e-35	9.17436346936299e-31	69.7735462674739
ENSG00000162909	-1.70485867215408	8.49219119077616	-61.6213509134805	1.70570260059902e-34	2.07873975935003e-30	68.9688903658732
ENSG00000156976	1.95232219414504	7.82137685078649	60.1962069818674	3.5514591030595e-34	4.32816320889861e-30	68.2373481109566
ENSG00000139329	4.3036481766888	4.35741172488178	55.8197526969175	3.77541236659999e-33	4.6010950511754e-29	65.7916322142141
ENSG00000173726	-1.76653013631299	8.01605198318652	-55.6537633695435	4.1441677999122e-33	5.050497297753e-29	65.7820988188328
ENSG00000091986	2.18871242112703	7.91221331366482	55.2429436604352	5.22538185129039e-33	6.3681728621676e-29	65.5499713797385
ENSG00000185686	-2.44849367911652	5.37263076376884	-53.5115862446385	1.41464431058365e-32	1.7240270213083e-28	64.5512861932177
ENSG00000106415	2.63152681995473	4.89955890427256	53.4912167314787	1.43158496509091e-32	1.7446725969563e-28	64.524770169996
ENSG00000007062	-4.71924960196534	3.80855991103611	-53.2434587589997	1.65521303388265e-32	2.01720812439278e-28	64.2670499531612
ENSG00000099399	-5.28324776239919	3.62247176172636	-52.4555987509154	2.63774607347372e-32	3.21462113974242e-28	63.7793527916987
ENSG00000173432	-3.92718496485131	7.76675521441551	-52.2010133684349	3.07089393589089e-32	3.74249843967023e-28	63.7731000370565
ENSG00000091483	-2.3910431592482	6.78536619885836	-51.1487406034908	5.80196025133376e-32	7.07084895830045e-28	63.1393322729723
ENSG00000168386	2.5935127282537	6.13655246286954	50.8948506764119	6.77756536107973e-32	8.25981890554787e-28	62.9884688238652
ENSG00000163565	-2.66079826614173	4.90338753613265	-49.8026673399416	1.33425959122986e-31	1.62606216383183e-27	62.3098754605164
ENSG00000182459	-3.80504978888887	2.86969940518313	-50.2481316438612	1.01043102423088e-31	1.23141228923017e-27	62.2878838275091
ENSG00000115415	-1.8205021258415	8.33239296487838	-49.6899624461591	1.43203495170799e-31	1.74522099564653e-27	62.2217580774237
ENSG00000164465	2.16223796523008	6.8412629694462	48.1386036631196	3.85265282841285e-31	4.69522800198673e-27	61.2346254993402
ENSG00000033122	6.16952951523844	3.30843249822	47.7198393942492	5.05932857989757e-31	6.16580374032116e-27	60.8527995157617
ENSG00000162366	-3.81157862368919	4.42199145754146	-47.0756175280015	7.72899814041636e-31	9.41933003372541e-27	60.5508570258107
ENSG00000111799	4.75748184553952	5.05357662413664	46.8594172979826	8.92140155260793e-31	1.08725120721633e-26	60.4153948138347
ENSG00000143761	-1.61067008328928	7.68227587325429	-46.684075081571	1.00270497463054e-30	1.22199655258224e-26	60.2616335681201
ENSG00000101017	-6.78417713819801	2.47306004296928	-46.541828945656	1.10273792785047e-30	1.34390671267137e-26	59.878248193603
ENSG00000182632	4.14230623308131	2.5834355404096	46.4315818944059	1.1873136673634e-30	1.44697916641578e-26	59.8456515253498
ENSG00000163904	1.38884847749827	5.91929679505057	44.6506065256865	4.01354695148534e-30	4.89130966977519e-26	58.889386236639
ENSG00000116761	2.06068095122932	5.05130284318487	43.9531059454098	6.55072350524781e-30	7.9833667358455e-26	58.4177556070518
ENSG00000154380	-1.8038435515325	8.19183035507929	-43.9945203911555	6.36158615473763e-30	7.75286504677875e-26	58.3900261724489
ENSG00000255112	1.94972423841247	5.21322453760229	43.8561234200638	7.01666815106629e-30	8.55121347570449e-26	58.3450177232563
ENSG00000147041	2.90120869825005	4.78254465155922	43.7809305246148	7.40136684082329e-30	9.02004576891135e-26	58.3000173770831
ENSG00000054983	5.66667076403081	2.66269450033814	43.659189009209	8.07095891925973e-30	9.83607763490184e-26	58.0305629681513
ENSG00000078237	-2.54455910866843	4.00200530371193	-43.2825529122532	1.05666395386819e-29	1.28775636057917e-25	57.9386949494576
ENSG00000140479	-3.66896134233293	2.15736575726654	-43.6458285298964	8.14815286554851e-30	9.93015389724396e-26	57.8665057150852
ENSG00000163734	-6.24930148253245	2.51018009444549	-43.3157609660445	1.03176408985386e-29	1.2574108963049e-25	57.7542178813487
ENSG00000143641	-1.58259587663569	7.63066125756332	-43.1054010814296	1.20036935228766e-29	1.46289012963297e-25	57.751399930129
ENSG00000166086	1.5462202445295	5.06397280760125	42.8084283718653	1.48814413038881e-29	1.81360125170484e-25	57.5932811744973
ENSG00000163874	-3.15966489406003	4.22910027958573	-42.7706158079176	1.52958399224152e-29	1.86410401134474e-25	57.5758861820502
ENSG00000083720	-1.36733736366714	6.80705006393108	-42.8259075842005	1.46938111833967e-29	1.79073476892055e-25	57.558487572479
ENSG00000163961	1.46752066485388	5.35467041304356	42.7240479097002	1.58225923532015e-29	1.92829933008467e-25	57.5229582622109
ENSG00000170017	1.99998010880498	7.50406700432322	42.6946449135054	1.616478499206e-29	1.97000234698235e-25	57.4513383057638
ENSG00000143756	-2.07919185202246	6.03017890380238	-42.5241308535334	1.83054392774661e-29	2.2308838847448e-25	57.3551012181629
ENSG00000079263	-2.23719588067289	4.67368359288224	-42.3320023667025	2.10711456253546e-29	2.56794051736196e-25	57.2533231420722
ENSG00000148498	-1.18277539372913	7.21672843312979	-42.3165365325936	2.13117361575143e-29	2.59726128551626e-25	57.1750930280403
ENSG00000149972	3.83028422482798	2.67751872116226	42.2754767982729	2.19643113211155e-29	2.67679062070435e-25	57.0666884063407
ENSG00000143815	-1.5838588840623	7.58083769001537	-42.1403351157455	2.42614686628707e-29	2.95674518594405e-25	57.0390129745169
ENSG00000047457	-3.94273008267264	2.68367062482622	-42.223823822622	2.28146204049516e-29	2.78041778875146e-25	57.0312347922262
ENSG00000139971	-1.78899270825566	4.47452810239704	-41.7195974933612	3.31338895361617e-29	4.03802711777203e-25	56.8030202939161
ENSG00000196139	2.26355093177488	5.18310660021683	41.2020068869519	4.88208835246513e-29	5.94980107514925e-25	56.3937544135143
ENSG00000241794	-8.61187860055726	-1.21618743782522	-46.187942594976	1.39879118738137e-30	1.70470682006168e-26	56.3898989159087
ENSG00000118898	4.79600568224498	4.47195530708678	40.9691532287994	5.821055462818e-29	7.0941202925363e-25	56.2385221155126
ENSG00000198053	-1.87311726312836	6.58960502102424	-40.5838085892534	7.80463171260941e-29	9.51150466815709e-25	55.8722150490359
ENSG00000114480	1.57576571145933	5.98592249138879	40.4863711134219	8.40888888241214e-29	1.02479128809957e-24	55.814807117056
ENSG00000140284	4.78243694928252	2.93617138417035	40.4892063941797	8.39064148183705e-29	1.02256747739148e-24	55.8069945832105
ENSG00000069248	-1.34896955800493	6.07152405453689	-40.1852167490994	1.06001695337632e-28	1.29184266107972e-24	55.5774775921081
ENSG00000124275	-1.33694058989588	7.09545951945773	-40.1546991659295	1.08528799962156e-28	1.32264048513879e-24	55.5268988853157
ENSG00000121413	3.14096806718521	2.22980303331639	40.2963678580714	9.72989792609566e-29	1.18578266025328e-24	55.5215744661092
ENSG00000144802	-2.82579583383242	5.11234187483973	-40.0213207315927	1.20324279910323e-28	1.4663919992671e-24	55.4871837550339
ENSG00000049656	-1.37059559484356	9.15248986181888	-39.9340836470463	1.28747333740067e-28	1.56904375629019e-24	55.3378517978445
ENSG00000170558	1.49575437107647	7.63485921531494	39.8873604079648	1.33506352398092e-28	1.62704191667554e-24	55.308570791334
ENSG00000117525	1.91907342450953	9.41574443948911	39.8807850708142	1.34190500263986e-28	1.6353796267172e-24	55.2960172273178
ENSG00000135766	-1.96286912158193	6.90547278995199	-39.8487808991563	1.37572442715447e-28	1.67659535937315e-24	55.2900728074501
ENSG00000170381	2.75874324794683	5.60721399552985	39.6859090794772	1.56196935413066e-28	1.90357205187903e-24	55.202655388577
ENSG00000162819	-1.62551856654134	6.18618593126967	-39.4524837787651	1.87534208897183e-28	2.28547940382997e-24	54.9956976052059
ENSG00000145191	1.24836604531101	5.6159860726298	39.3438796779163	2.04258520972585e-28	2.48929859509289e-24	54.9309297608738
ENSG00000073578	-1.14398649214937	6.82000042123873	-39.1528156985006	2.37513394562353e-28	2.89457573953139e-24	54.7378504055746
