genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000112096,-3.49638337214718,8.66207752160576,-115.76196123408,3.10659103784584e-43,4.15009496745826e-39,88.23901952154
ENSG00000026025,8.51419168108892,7.61406422298855,109.756215575144,1.67608065616734e-42,2.23907614857394e-38,86.6581191843814
ENSG00000134339,-4.97059768037348,5.96723382424457,-90.1618437712096,8.40457413425379e-40,1.12276705859496e-35,80.7062615675961
ENSG00000107438,4.70739396759594,6.19666932933176,87.2311885333544,2.38717873165675e-39,3.18903206762025e-35,79.7575159019057
ENSG00000154736,3.77404516851046,7.95746227127933,76.2454894425236,1.67229045440198e-37,2.23401281803561e-33,75.7694852910854
ENSG00000130600,7.95302123392343,6.13783903703155,69.4868456890724,3.12179631476832e-36,4.170407696899e-32,72.8576319513711
ENSG00000163283,4.2995129714014,5.74801052667166,68.4186320557096,5.08649124805751e-36,6.79504365828003e-32,72.3543589642161
ENSG00000176014,4.06991773990918,5.69680636318587,65.3568815408747,2.15130021397552e-35,2.87392195584989e-31,70.9450861355145
ENSG00000143753,-2.02565795013706,6.81097235427866,-62.3256100989605,9.5920782738716e-35,1.28140573660651e-30,69.5181715090256
ENSG00000143799,-1.63011125299414,7.83339044168969,-62.1050777582767,1.07238525604141e-34,1.43259946354572e-30,69.4177087716206
ENSG00000162909,-1.71419930125353,8.49219119081525,-60.7323664492635,2.16628341870668e-34,2.89393801905026e-30,68.7219996839752
ENSG00000156976,1.94295340002859,7.82137685082558,59.3391106956644,4.49439303974855e-34,6.00405966180009e-30,67.9948300997891
ENSG00000139329,4.29405766778203,4.35741172492087,55.5555622493021,3.56249316832815e-33,4.75913462356958e-29,65.8154728447212
ENSG00000091986,2.17935930007875,7.9122133137039,55.0488380358562,4.75011212478517e-33,6.34567478750051e-29,65.6438456046558
ENSG00000173726,-1.77588669468122,8.01605198322561,-54.8797439430412,5.23179369382449e-33,6.98915319558014e-29,65.5472700875784
ENSG00000007062,-4.72864869103211,3.80855991107519,-53.447598862979,1.19972618234081e-32,1.60271420698909e-28,64.5379016192996
ENSG00000185686,-2.45799101084178,5.37263076380793,-53.0462059292917,1.51984309499323e-32,2.03035839060146e-28,64.4690032229086
ENSG00000106415,2.6220874152504,4.89955890431165,52.9723025217413,1.58779173939625e-32,2.12113098465946e-28,64.4051875826861
ENSG00000115415,-1.82987497324454,8.33239296491747,-52.2786346070049,2.40079715741099e-32,3.20722492258534e-28,64.0212601676146
ENSG00000168386,2.58418570426776,6.13655246290863,51.5643963635438,3.69566807700374e-32,4.93704298406929e-28,63.5936324633711
ENSG00000099399,-5.29349538774321,3.62247176176545,-51.8028364271346,3.1979526513512e-32,4.27214494694007e-28,63.5505120353441
