replicate,code,sample,experiment date,HEPES,lactate,pyruvate,phenylalanine,tyrosine,proline,threonine,alanine,glutamate,glutamine,glucose,aspartate,serine,asparagine,glycine,malate,aKG,fumarate,leucine+isoleucine,valine,methionine,tryptophan,succinate,lysine,histidine,arginine
3,250716_262_1,UOK262,25.07.16,23886870.24,2770870133,32029685.6,1961938274,1399116504,1064526212,1701592251,206859494.8,251459639.9,209131308.3,16269479.8,84765.53544,78107040.95,4637299.998,65925439.73,7934724.128,5907494.084,6983829.573,6924609163,2384009526,922440913,298937633.2,17780160.5,439150335.6,20855397.93,908877809.7
3,250716_262_2,UOK262,25.07.16,22342591.84,2771012665,27513122.6,1930854027,1380338390,1095081083,1601327507,210796249.3,257408546.2,208609385.7,13698749.09,174504.0757,78819284.83,4037047.466,67692269.31,7287447.096,6629471.955,6740794.683,6586815953,2426140879,913920282.7,292050069.4,17978504.38,386518919.6,18361229.07,814389648.7
3,250716_262_3,UOK262,25.07.16,23331107.16,2796391955,28012921.6,2008438222,1398957143,1131913326,1694373616,217167271.2,287516187.6,210990380.3,14353044.24,304967.0701,77345942.22,3939113.999,66900898.65,8263994.532,7782762.178,8544935.438,6747053331,2301778648,924635178.5,294894947.2,18829559.15,397564670.8,17075065.95,906257275.7
3,250716_262_4,UOK262,25.07.16,20981950.34,2801049977,30002074.91,1937725611,1300767443,1059097633,1541611876,200923053.6,259050955.4,194127336.6,14927767.25,436319.1897,74086459.49,3331160.856,66172815.95,7124708.241,6333746.71,5989079.18,6291428566,2247639942,843900338,279763707,19863584.96,393988512.1,18875042.21,811610920
3,250716_262_5,UOK262,25.07.16,22996482.94,2771349110,30617894.17,1924743894,1393314128,1116436007,1713603510,199894584,246796228.4,209798580.9,14002876.31,86379.15258,79313118.63,5103137.75,66769793.05,8866425.048,5701416.761,7662474.563,6577107087,2287279792,909884011,283005793.2,16801083.09,434653957.4,16312610.78,935570000.1
3,250716_262_6,UOK262,25.07.16,22865904.14,2655855397,27562909.34,2058340139,1367052123,1081813183,1686348729,207148131.5,270765274.2,225090745.3,14929914.14,225070.0715,83254624.15,2714321.337,71558463.51,7820206.758,7446034.121,7441574.206,6642240439,2339742138,882128546.8,289816439.1,19670174.31,419016359.8,20083454.46,920106258.8
3,250716_pFH_1,UOK262pFH,25.07.16,23874476.84,4170050429,17800672,1863207676,1293229885,1087995122,1519349369,445256059,401237481.1,157851880.1,13630057.01,660064.1679,52116773.39,14401104.09,71851860.57,32337821.14,11803160.68,1337426.565,6234301415,2100670043,759982785.4,255027083.7,13620403.47,383552847.9,14402947.89,763584639.5
3,250716_pFH_2,UOK262pFH,25.07.16,23442320.27,4166529570,19846522.78,1817423209,1316612684,1085461799,1539585888,477040930.6,403856787.9,161131685.1,12284796.79,807421.3256,50923310.68,16171521.76,69391387.28,31539383.65,12102228.66,844918.5254,6188530219,2121693282,769729890.7,256605266,14439723.52,383178458.9,16651896.79,773902658.1
3,250716_pFH_3,UOK262pFH,25.07.16,22005105.43,4148489289,18043395.88,1839006866,1296702787,1052820586,1528683457,482374029.2,404489971.7,163970366.9,14813420.27,801221.767,48977860.14,15671002.76,70431660.41,34389263.66,13805693.71,1173195.81,5870689873,2024776168,711469842.9,245449545.5,15663676.71,404931471.5,16990486.91,814450524.3
3,250716_pFH_4,UOK262pFH,25.07.16,24004708.09,4028923061,19953495.23,1933006184,1283303700,1070654922,1524447577,435383885.1,388082448.4,157374125.1,14910891.12,832374.5494,51509596.82,17204922.5,69030791.36,34222650.51,11891338.94,1388785.058,4636001989,2048108992,758431397.4,256948853.8,14698781.88,403968070.4,14338122.43,841273928.3
3,250716_pFH_5,UOK262pFH,25.07.16,23713825.25,4213380790,18518621.07,1828187372,1398623679,1157078528,1643223854,471897504.3,417417115,175438431.9,14851077.16,800464.9262,54163385.07,15100419.01,73725466.01,34299352.52,14756996.26,726021.1218,6009724058,2188264028,758757678.3,262195703.6,13921310.4,392003516.5,17508344.79,788209126.1
3,250716_pFH_6,UOK262pFH,25.07.16,21283523.18,4003645660,19139996.84,1815922933,1315650276,1095083751,1487188226,459782434.5,394218948.1,164212367.1,13648649.36,728808.363,48936423.11,16966345.82,66052910.11,32642733.29,13271785.67,1184521.306,6138882010,2185420165,759012763.3,267024248.8,15126580.69,396245103.1,16388473.56,799843566
3,250716_M_1,control,25.07.16,23081946.21,218206175.8,117498564.7,1979298170,1381303609,352101472.6,1726326670,90435401.53,59184387.11,258656389,17746914.19,569064.3393,104292693.5,0,58851834.23,6887300.978,587310.7509,0,6796171636,2490027223,937025404.7,295913635.6,13337942.89,437264765.2,19845176.84,991309991.4
