,aKG,alanine,arginine,asparagine,aspartate,fumarate,glucose,glutamate,glutamine,glycine,histidine,lactate,leucine+isoleucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
180716_262_1,0.0109751266636,0.0764124729662,-0.0218395821259,0.000596300371586,-0.00256450876482,0.0152197041116,-9.08841227763,0.141570427239,-0.248408899431,0.00449688453622,-0.00774011285136,2.16228809841,-0.261922851607,-0.0315041338246,0.000400502712587,-0.0117026689208,-0.0173762861868,0.0101948599342,-0.441989745745,-0.0447322956703,0.00359269797855,-0.0461741555751,-0.00490821479581,-0.023807631758,-0.0271828789241
180716_262_2,0.0178502339744,0.0960296919011,-0.0378917738948,0.000619665894032,-0.00151040729389,0.0395670232634,-9.24679435618,0.148660120508,-0.162522073072,0.0345519510503,0.0040193027099,2.47020825619,0.0480812829418,0.0656381827593,0.000254125483722,0.00257487612669,0.0126699870642,0.014311587887,-0.452079900934,-0.025586965266,0.0141146849253,-0.00257605645922,0.00213709233507,-0.0120895723925,-0.0296451808385
180716_262_3,0.016922467684,0.0822780404198,0.0544361766902,0.000604838139825,-0.00105637690922,0.02795791659,-10.2799457919,0.143975278528,-0.224390365565,0.024172899957,-0.0204183383432,2.32894631877,-0.0781900863461,-0.0692450979991,0.00143229982037,-0.0003604858518,-0.00312775960272,0.0147300883431,-0.414973861445,-0.0370694050579,0.0133517418416,-0.0119621231083,-0.00214755239627,-0.0183132869383,-0.00395488103871
180716_262_4,0.0183406956438,0.0872379798158,-0.0341046545236,0.000756899020566,-0.00119289798421,0.0325928742942,-10.4855161081,0.147453349258,-0.239359974427,0.0186755331907,-0.0504283221036,2.47564988944,-0.178577108442,-0.050846599032,0.000499816160179,-0.00799624109433,-0.00679068613859,0.0126139923257,-0.448703631671,-0.0322663533896,0.0149525457028,-0.0921261982155,-0.00193723768443,-0.023488623789,-0.0485097425857
180716_262_5,0.0144483621416,0.0777961198106,-0.0467592369457,0.000362432957722,-0.00134348720797,0.0270243649144,-9.57469831057,0.146038468751,-0.259966536045,0.0238063622164,-0.0818400066695,2.05314812394,-0.177138585858,-0.0168784922855,-0.000375999051783,-0.0108661300542,-0.0265864632238,0.0113012954482,-0.448456768496,-0.0278115695394,0.00713787807286,-0.115195106572,-0.00476209097105,-0.0275283385487,-0.0481642550294
180716_262_6,0.0176523944385,0.0834193063953,-0.0392670609412,0.000494124893975,-0.00258778308387,0.0183063504177,-8.57719712357,0.141166155105,-0.213072502207,0.0164012145632,0.0198879594976,2.34446925632,0.0309136611168,-0.0029607496257,-0.000176670818134,-0.00675727229405,0.000217927367511,0.0161217343535,-0.463877844216,-0.0373891391341,0.0104438999084,-0.0704252625199,-0.00300549983135,-0.0161580869376,-0.0226981354442
180716_pFH_1,0.00614889442872,0.0589201044597,-0.0229171196406,0.00112716233195,0.000454573974377,0.00105018404363,-2.51576152104,0.0452801923745,-0.112223579787,0.0046691401031,-0.0235156593526,1.42682518333,-0.0809615364309,-0.0379666770119,0.00241059820865,-0.00543849296809,-0.00849985334977,0.00622675742969,-0.218203886181,-0.025508525743,-0.00127501618602,-0.0346554085427,-0.00201802942713,-0.0141636002459,-0.0393155983926
180716_pFH_2,0.00663103262782,0.0556064144475,-0.0286120787785,0.00130614914382,-9.47480449125e-05,0.00209730533449,-2.5977770732,0.0449529946968,-0.110195274727,0.00494797637499,-0.0190035863078,1.35745124793,-0.099313443742,-0.0385381114462,0.00177830485874,-0.00679240315476,-0.00889694266777,0.00564637383568,-0.21228889342,-0.0243908513016,-0.00178859736547,-0.027569136328,-0.0032637103962,-0.0159410686757,-0.0473307245451
180716_pFH_3,0.0066411572085,0.065835064849,-0.0294054233785,0.00122528135701,0.000415720357369,0.00141542901718,-3.17889758912,0.0462730124303,-0.12195270839,0.00591674925033,-0.016960601169,1.37607951033,-0.0965069523139,-0.045682621266,0.00122139024132,-0.00491182173359,-0.0106636409892,0.00706726098152,-0.217176388578,-0.026229084907,-0.00200236018891,-0.0271605386342,-0.00286302827007,-0.016127792411,-0.0361736763036
180716_pFH_4,0.0059952395432,0.0592589322979,-9.91444544366e-05,0.00110323445803,7.90379529424e-05,0.000839334760631,-1.59922073881,0.0447171494958,-0.0905897083822,0.00590523809507,-0.00593071760377,1.48189443472,-0.0697546034304,-0.0180911068431,0.00267536391009,-0.00504186479846,-0.00554672435894,0.00658476844112,-0.212937063586,-0.0228090554211,0.000428552402161,-0.0209977371707,-0.00146380114226,-0.0107181743845,-0.0206402271642
