,aKG,alanine,arginine,asparagine,aspartate,fumarate,glucose,glutamate,glutamine,glycine,histidine,lactate,leucine+isoleucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
180716_pFH_5,0.00396933554901,0.0597307651433,-0.0289650733747,0.000927975063803,5.50363735896e-05,0.00145973268137,-4.12966507721,0.0387316171169,-0.129483304953,0.00216630340477,-0.0233732493335,1.30045262318,-0.116609521498,-0.0124674980715,0.00201220733334,-0.00674725850332,-0.014788486489,0.00569494219315,-0.217381886076,-0.0271621158191,-0.00062580533227,-0.0484118309213,-0.00338418484076,-0.0188166904129,-0.0400421758361
180716_pFH_6,0.00673258819335,0.0599802490546,-0.0210091447501,0.00123910379413,0.000219824103357,0.00185100928722,-2.36102819244,0.0460683383392,-0.114717306703,0.00578997414157,-0.0154791355689,1.4511959402,-0.063102065284,-0.0336837250098,0.00280872512334,-0.00412631988227,-0.00694121981153,0.00652390663313,-0.215762138743,-0.0234866767744,2.67526184246e-05,-0.0320212715111,-0.00217864175789,-0.0106346605085,-0.0378762948673
220716_262_1,0.0113191707118,0.0637809654378,-0.0104877934731,0.000454387561881,-0.000632424940231,0.0284039133164,-0.800057448289,0.100422433681,-0.195861534726,0.0183197850988,-0.0280575958693,1.99602721918,-0.071381406544,-0.0181193606071,-0.000853633114948,-0.000501175437901,-0.00246083903061,0.0120635252436,-0.366536160468,-0.0279885272,0.00841016437035,-0.0331114143153,-0.00147668045233,-0.0185985896584,-0.013702654858
220716_262_2,0.0116019087652,0.0682265370634,-0.015687719665,0.000366757629641,-0.000860246911021,0.0204758320505,-1.56630355378,0.101912004217,-0.210659453788,0.024677361104,-0.0465846978251,1.85486815006,-0.12390630951,-0.0316789135077,0.000135101678941,-0.00746293972131,-0.00599992804859,0.00932179857372,-0.371308843449,-0.0200537590989,0.00901140964703,-0.055737931709,-0.00299016028924,-0.0347981137521,-0.0833163794074
220716_262_3,0.0162745913236,0.0677592896454,-0.0207033420163,0.000497932599876,-0.000274303399435,0.0335759606746,1.0053225909,0.099437670575,-0.171420105556,0.0241263407789,-0.0437951684028,2.04280324338,-0.00975330593656,0.0519910044501,0.000396332735317,-0.000675238866507,0.0141202352756,0.017869593976,-0.378657760463,-0.0208404971667,0.0116480702,5.62076375711e-05,-1.54193260764e-05,0.00950455966224,0.0242452689263
220716_262_4,0.0123945735353,0.061246055287,-0.0220384461386,0.000452675593098,-0.000902081113276,0.0218498543645,-1.89454052459,0.100747858859,-0.196911589521,0.0120318379025,-0.0500956910416,2.00863564526,-0.0837616256805,0.00505613422903,-0.000707038080911,-0.00412850781442,-0.00235077588148,0.0123773045627,-0.363297614745,-0.040016296537,0.00836842433819,-0.102754585357,-0.00308265672708,-0.0270635610581,-0.0599704012007
220716_262_5,0.0115117942547,0.0669931336492,-0.0571614937224,0.000549007233281,-0.000423764224619,0.0332675634662,-0.752858639681,0.0951869762725,-0.178453195985,0.0105951843571,-0.0260403246423,1.99414400649,-0.0715668626319,-0.038427251228,9.93260321131e-05,-0.00397192535619,-0.0066999281841,0.0136032908424,-0.384651911862,-0.03507669671,0.00787181877785,0.000645628114591,-0.00145090884642,-0.00299776944566,-0.0403248985306
220716_262_6,0.0109162613998,0.0559880402567,-0.0491415304801,0.000410853286549,-0.000796379386772,0.0221989802837,-0.740892682159,0.0954533444415,-0.213536137545,0.00960892072647,-0.0349667407906,1.95423277719,-0.154743489341,-0.00985500519275,8.27055697394e-05,-0.00952660008657,-0.0135682511481,0.0109773239854,-0.357104078609,-0.036359977617,0.00475610721926,-0.0810439978296,-0.00430592183131,-0.021434521531,-0.0984312959839
220716_pFH_1,0.00739942114455,0.0684992279537,-0.0238241914786,0.00122896681037,0.000931278204858,0.0,0.0467618316213,0.0567818832505,-0.127045562606,0.00802946147612,-0.0255033735164,1.46835550894,-0.05316333923,-0.0261945508709,0.00208618309472,-0.00435739796381,0.00329978643314,0.00745532905617,-0.269830625829,-0.0264326462851,0.00174180348921,-0.0416868431976,-0.00226270391223,-0.00950572125916,-0.0346342748548
220716_pFH_2,0.00791168889379,0.0650286004208,-0.0133762810787,0.00113946557943,0.00210996636399,0.0,-0.227985650017,0.0595257351673,-0.133260878944,0.0051769827234,-0.0236156381545,1.43503497001,-0.0464973173587,-0.0220358243654,0.00179588913995,-0.00394266377372,-0.00148367056369,0.00733779271157,-0.260141504016,-0.0258617099121,0.000940845681294,-0.0250629160638,-0.00183916263455,-0.00992250269539,-0.0221465218685
220716_pFH_3,0.00786275430005,0.0742222197478,-0.0111287594775,0.00106670270125,0.000691317368459,0.0,-0.17222467555,0.0585895894951,-0.137835783565,0.0114927456399,-0.0105649491075,1.51096101807,-0.0852369694655,-0.0182347856065,0.00107277434602,-0.00629182469761,0.00129320171535,0.00627169788181,-0.269021896356,-0.0222663323217,0.00280411594306,-0.0265150063637,-0.00298537389963,-0.0105832861164,-0.0444784929227
220716_pFH_4,0.00804468821429,0.069992374191,-0.0283374250203,0.00115967630647,0.00147618414991,0.00312414050561,0.902498489864,0.0591611171771,-0.118371087431,0.00722529175389,-0.0185722936567,1.49058951666,-0.0404787523348,-0.018423659837,0.00209624593524,-0.00176027646868,0.000113393241978,0.00837636051781,-0.265623500291,-0.0234325189875,3.76781026839e-05,0.00605256188317,-0.000705677462324,-0.000892142505649,-3.35841146521e-06
220716_pFH_5,0.00931437482325,0.0620849091111,-0.0330347750415,0.00116273467602,0.000991519421713,0.0,0.265598513946,0.0585868169514,-0.127156973178,0.00637634957244,-0.01330818472,1.5478546295,-0.073858992436,-0.0169132032604,0.00212516074901,-0.00495820261288,-0.00982358288578,0.00673899100512,-0.270654902864,-0.0271114764535,-0.000173156970105,-0.0140726673958,-0.00225903105573,-0.0228326956703,-0.0547820283425
220716_pFH_6,0.00868322971477,0.0668343771378,-0.0279451676495,0.00131690160366,0.0011799191391,0.0,1.07284911767,0.0604355004639,-0.145597286352,0.0124139330075,-0.0240690491322,1.53099864561,-0.0233733055277,-0.0136575327873,0.00214562469424,-0.00333368998308,-0.00180973600501,0.008115882381,-0.274641962134,-0.0207695508612,0.000622130588166,-0.0322112437324,-0.00131725088402,-0.00769427737434,-0.00612798432188
280716_262_1,0.00941579434953,0.0591048816196,-0.0229877408509,0.000152053463883,-0.000512516539052,0.0294239091386,0.348524886785,0.109405889973,-0.207008394892,0.0156682128577,-0.0210200144854,2.00692240844,-0.247461743426,-0.015703540594,0.00058187806269,-0.00754901688729,-0.0148403908292,0.0112428768957,-0.339446475253,-0.0316596943033,0.00908006107604,-0.0248188945415,-0.00359028607338,-0.0134661480215,-0.0577335191455
280716_262_2,0.0100313795358,0.0547362090954,-0.0128318050125,0.000143057768832,-0.000958851874831,0.0244354161976,-0.239491252113,0.124274657431,-0.167620219548,0.0171345010621,-0.0299236044967,2.19979782192,0.0361548612396,-0.0398973728428,0.000788258610692,-0.00251855528081,-0.00446535862299,0.0139054450605,-0.346461679319,-0.0287436763727,0.00893733066188,-0.00731517265212,-0.00142172957654,-0.0197578814333,-0.0396880539962
280716_262_3,0.00717890782944,0.0539718446629,-0.0461841755379,0.000108253209772,-0.000690979567022,0.0204272776571,-0.51613799403,0.111431964543,-0.187027630799,0.00605082177669,-0.0332596441641,2.0382877999,-0.133641636533,-0.0127540857643,0.000105205285289,-0.00520462268683,-0.0192489521939,0.0111796625021,-0.367857640608,-0.0357898587764,0.00182897051663,-0.0179275780738,-0.00248657035741,-0.0227716337046,-0.0461360077291
280716_262_4,0.0103697481392,0.0587282401714,-0.0208116911329,0.000125985291242,-0.00115253847392,0.0353787134247,0.960440700679,0.116148342071,-0.185543052554,0.0139234340169,-0.0187629609634,2.2473863283,-0.149758988108,-0.0240198016877,0.000854027127869,-0.00482379815004,-0.00215246857006,0.0130173587288,-0.349387193438,-0.0346770085078,0.00757655829574,-0.0380612916484,-0.0018851605514,-0.00621271669517,-0.022647861237
280716_262_5,0.00770127405117,0.059907373502,-0.0182353615406,0.000149316868496,-0.000857084578666,0.0308664603479,0.590677911561,0.111721408948,-0.197682989046,0.00955722283811,-0.0145509427121,1.99384593787,-0.189304704277,-0.0374088268321,0.000392566775666,-0.00914064381533,-0.0193426568368,0.0124921711121,-0.346597911446,-0.0330402131962,0.00478939723697,-0.0367497094267,-0.00412947443623,-0.0227118337143,-0.0592203945452
280716_262_6,0.010071117464,0.0536883719406,-0.0258204061197,0.000162750690259,-0.00117614166811,0.0266918837434,0.197691005299,0.115296179737,-0.194232342781,0.0207694014975,-0.0160487058239,1.95604529808,-0.262067741689,-0.0396750677364,0.000113899233698,-0.00346457619855,0.00566145786854,0.0130769288393,-0.338047662616,-0.0230657735974,0.00474108548013,-0.0389023357044,-0.00111747327519,-0.00412466119321,-0.0146364648946
280716_pFH_1,0.00715010022313,0.0649455338954,-0.0329680357214,0.00127025773429,0.00166162634805,0.00104456505028,-0.168491248865,0.0688666116742,-0.16081812093,0.00638017102928,-0.0440890617376,1.61244385714,-0.0778662785835,-0.04783998789,0.00134969717301,-0.00629588969756,-0.0109139243263,0.00756305115698,-0.287749729881,-0.0240889224642,7.02207156336e-05,-0.0356258171678,-0.0032008288958,-0.00782605238593,-0.0296312878041
280716_pFH_2,0.00403285516353,0.0590017211846,-0.058592741726,0.000887292345546,0.00137583083383,0.0,0.150284834869,0.0614699583927,-0.199704551694,-0.00184164743623,-0.044215195735,1.37516543474,-0.0704439096795,-0.0819138492548,0.00254029899237,-0.00871051292986,-0.0269655095808,0.00592041560839,-0.304920375092,-0.0336675292215,-0.00342628202418,-0.0474797205527,-0.00477167923308,-0.0267304717869,-0.0389812628349
280716_pFH_3,0.00613724498427,0.0530935908292,-0.0340539053831,0.00104908699716,0.0014431790389,0.0,0.225958410877,0.0599797920998,-0.150364340752,-0.00283890943723,-0.0130617097759,1.51931650588,-0.0710674384808,-0.0131776422427,0.00305436817984,-0.00710618411421,-0.0130950591728,0.00523418762226,-0.284536319272,-0.0318084807854,-0.00222049957527,-0.0581053296915,-0.00393700206957,-0.0225607589779,-0.0503031050746
280716_pFH_4,0.00660317011929,0.0645302105395,-0.00863080804304,0.00112709340452,0.00139012304221,0.0,0.170737836885,0.0666725913168,-0.133211994835,0.00407250304749,-0.0217171153669,1.71847134333,-0.0265230799994,-0.0157976296239,0.00204778567604,-0.00709311938567,-0.0120631126806,0.00675120488047,-0.281257659061,-0.0276897121724,-0.00112537161243,-0.0497042006015,-0.00285448162261,-0.0173150118001,-0.0490978615497
280716_pFH_5,0.00632280824183,0.0638895436879,-0.0452681003527,0.00107656769709,0.00213650049144,0.0,-0.525301296525,0.0625717435522,-0.177055798704,0.00359706753539,-0.0345482132438,1.52007617608,-0.122430323592,-0.0611919650357,0.00192088925866,-0.00941390086209,-0.0255074614197,0.00544372930694,-0.286582472786,-0.0298510216835,-0.00146361044006,-0.0698169819846,-0.00503744208758,-0.0305644684864,-0.0763060937397
280716_pFH_6,0.0065854734301,0.062915292016,-0.0334781694557,0.00102339246267,0.00245579360115,0.0,-0.201042572375,0.0687250294814,-0.172133372906,0.0121102325382,-0.0160975397907,1.65696296484,0.0333145450603,-0.0391380661145,0.00249553003492,-0.00506040611414,-0.00785624201874,0.00729355572172,-0.274763507113,-0.0233448008262,-0.000224626124461,-0.0333440576272,-0.00243806218679,-0.016626087591,-0.0131553000402
