experiment,cell doubling time (h),DW doubling time (h),condition
rep1,34.26419059,36.15710009,UOK262
rep1,23.45849322,22.47855848,UOK262pFH
rep2,25.43945407,36.91197066,UOK262
rep2,35.06218264,23.43372368,UOK262pFH
rep3,33.65497901,35.67283018,UOK262
rep3,38.21466057,32.39122884,UOK262pFH
rep4,20.30107628,32.65438259,UOK262
rep4,27.44522306,24.93593132,UOK262pFH
