replicate,sample,lactate,pyruvate,phenylalanine,tyrosine,proline,threonine,alanine,glutamate,glutamine,glucose,aspartate,serine,asparagine,glycine,malate,aKG,fumarate,leucine+isoleucine,valine,methionine,tryptophan,succinate,lysine,histidine,arginine
1,UOK262pFH,1.300570222,-0.218754303,-0.014847868,-0.008973503,0.005705798,-0.049032521,0.061880326,0.039395734,-0.132862908,-4.879124811,5.47111E-05,-0.027799802,0.000926785,0.002218456,0.002011815,0.001763076,0.001595311,-0.117537527,-0.040046383,-0.006801541,-0.003398242,-0.000625812,-0.014931896,-0.02336936,-0.039502506
1,UOK262pFH,1.451339428,-0.217129779,-0.006969451,-0.005062549,0.006536587,-0.032434576,0.062141731,0.046894141,-0.117729965,-2.814771616,0.000218672,-0.024044548,0.001237586,0.005930951,0.002808312,0.003366156,0.001982909,-0.063609132,-0.037880283,-0.004160011,-0.002187884,2.67518E-05,-0.040192877,-0.015476535,-0.028739133
2,UOK262,1.996145533,-0.369275638,-0.002471063,-0.00884448,0.012086307,-0.033541033,0.065572049,0.102186015,-0.201110097,-0.942443023,-0.000628504,-0.028679701,0.000453104,0.01876786,-0.000853338,0.005224674,0.028235391,-0.07195566,-0.013704181,-0.000505551,-0.001483273,0.008410411,-0.021699643,-0.028052723,-0.014445772
2,UOK262,1.854969135,-0.374075906,-0.006024507,-0.016575365,0.009338882,-0.056458237,0.070176868,0.1037084,-0.216291239,-1.840016121,-0.000854695,-0.020553388,0.000365671,0.025284883,0.000135041,0.005384274,0.020327823,-0.124898251,-0.083325195,-0.007524236,-0.00300328,0.009011689,-0.037876654,-0.046576672,-0.021580859
2,UOK262,2.042927495,-0.381466782,0.014178006,0.004523443,0.017905249,5.63082E-05,0.069692709,0.101179626,-0.176031513,1.184381103,-0.000272728,-0.021359271,0.000496555,0.024719972,0.000396193,0.008158873,0.033399009,-0.009833846,0.024247865,-0.000681058,-1.55971E-05,0.011648509,0.062208702,-0.043787614,-0.028453367
2,UOK262,2.00875555,-0.366018227,-0.002360552,-0.012881817,0.012400755,-0.104072245,0.062948023,0.102518598,-0.202187409,-2.223495996,-0.000896214,-0.040991036,0.000451395,0.012324028,-0.000706802,0.005837078,0.021697527,-0.084434591,-0.059976813,-0.004162747,-0.003096172,0.008368669,0.005988815,-0.050087073,-0.03028113
2,UOK262,1.994262083,-0.387494688,-0.006727339,-0.001416971,0.013629385,0.000653403,0.068898909,0.096836223,-0.183248476,-0.887050278,-0.000421237,-0.035936,0.000547523,0.010852017,9.92763E-05,0.005333295,0.03309102,-0.072142596,-0.040329256,-0.004004885,-0.001457389,0.007872039,-0.045921176,-0.026035798,-0.078106747
2,UOK262,1.954345868,-0.359788281,-0.013623334,-0.010196493,0.010997817,-0.082086965,0.057509179,0.09710837,-0.219242195,-0.873005096,-0.000791298,-0.037249409,0.000409666,0.009841538,8.26611E-05,0.004999025,0.022045611,-0.155979277,-0.098441644,-0.009604444,-0.004324616,0.004756197,-0.011831592,-0.034960687,-0.067231654
2,UOK262pFH,1.468466468,-0.271718036,0.003313154,-0.004519082,0.00746952,-0.042224137,0.07079883,0.057772238,-0.130437654,0.053956284,0.00092641,-0.02707236,0.001226715,0.008224872,0.002085756,0.003505845,0,-0.053590148,-0.034637979,-0.004393184,-0.002272559,0.001741826,-0.031289047,-0.025498975,-0.032635415
2,UOK262pFH,1.435141065,-0.261983781,-0.00148983,-0.004717682,0.007351731,-0.025387508,0.067176182,0.060576368,-0.136812777,-0.26936957,0.00210022,-0.02648834,0.001137322,0.005302186,0.001795494,0.003805752,0,-0.046871033,-0.022148918,-0.003975104,-0.00184722,0.000940852,-0.026334109,-0.023611559,-0.018376081
2,UOK262pFH,1.511078295,-0.27090563,0.001298357,-0.005032595,0.006283383,-0.026858254,0.076778801,0.059619574,-0.141504924,-0.203802579,0.000687585,-0.022809778,0.001064651,0.011774275,0.001072492,0.003776875,0,-0.085918101,-0.044483213,-0.006343075,-0.002998255,0.00280417,-0.021802842,-0.010563105,-0.01529897
2,UOK262pFH,1.490703759,-0.267491602,0.000113734,-0.000419283,0.008392556,0.006131111,0.072358277,0.060203698,-0.121539146,1.065001375,0.001468933,-0.024003094,0.001157508,0.007400842,0.002095818,0.003884473,0,-0.040804463,-3.38736E-06,-0.001774941,-0.000708844,3.76731E-05,-0.022028057,-0.018569074,-0.038771315
2,UOK262pFH,1.547977467,-0.272546044,-0.009863357,-0.010880241,0.006751655,-0.014255599,0.064105893,0.059616741,-0.130551935,0.311945974,0.000986375,-0.027766701,0.001160563,0.006530992,0.00212473,0.004652928,0,-0.074450122,-0.054787797,-0.004998816,-0.00226887,-0.000173163,-0.020226813,-0.013305868,-0.04514163
2,UOK262pFH,1.531118933,-0.276550899,-0.00181722,-0.003656156,0.008131506,-0.032627533,0.069060688,0.061506279,-0.149464575,1.266951649,0.001173933,-0.021277971,0.001314548,0.012718527,0.002145192,0.00426718,0,-0.02356223,-0.006128674,-0.003361198,-0.001323071,0.000622132,-0.016343114,-0.024064893,-0.038238615
3,UOK262,2.007067572,-0.341938882,-0.014900174,-0.006427353,0.011264045,-0.025135493,0.060803707,0.111471244,-0.212412798,0.407609048,-0.000509817,-0.032417121,0.000151535,0.016045883,0.000581666,0.004508655,0.029275649,-0.249265983,-0.057739461,-0.007609503,-0.003605479,0.009080471,-0.018737418,-0.021016363,-0.031605299
3,UOK262,2.199971421,-0.348991539,-0.004483569,-0.009437146,0.013932467,-0.007409331,0.05627693,0.126696623,-0.172031856,-0.280911374,-0.000953354,-0.029434309,0.000142564,0.017548283,0.000787983,0.004864036,0.024294301,0.036425878,-0.039692177,-0.002539049,-0.001427875,0.00893773,-0.047542065,-0.029918428,-0.017679428
3,UOK262,2.038437476,-0.370496978,-0.019326208,-0.010880164,0.011200695,-0.018156785,0.055485348,0.113545245,-0.191930681,-0.604020286,-0.000687204,-0.036640776,0.00010786,0.006194747,0.000105157,0.003266721,0.020294816,-0.134632798,-0.046140784,-0.005246612,-0.002497199,0.001829011,-0.015221167,-0.0332539,-0.0632281
3,UOK262,2.247567188,-0.351932449,-0.002161327,-0.002962026,0.013042398,-0.03854514,0.060413266,0.118374019,-0.190408665,1.126503518,-0.001145694,-0.035502866,0.00012554,0.014258295,0.000853732,0.005061716,0.035226313,-0.150867045,-0.022650238,-0.004862759,-0.001893267,0.007576867,-0.02864638,-0.018759697,-0.028625475
3,UOK262,1.993989232,-0.349128491,-0.019420283,-0.010851522,0.012516052,-0.037217033,0.061635706,0.113841554,-0.202853987,0.691813997,-0.000852258,-0.033829037,0.000148806,0.009785733,0.000392416,0.003549435,0.03071679,-0.190697193,-0.059226484,-0.009213542,-0.004146866,0.004789552,-0.044582478,-0.014548406,-0.025094686
3,UOK262,1.956183234,-0.340532512,0.005684409,-0.001965334,0.013102101,-0.039396776,0.055191815,0.117501464,-0.199316714,0.230773879,-0.001169126,-0.02362454,0.000162203,0.021273229,0.000113848,0.004887167,0.026547079,-0.263974088,-0.01463801,-0.003492676,-0.001122324,0.004741238,-0.047277712,-0.016045911,-0.035480958
3,UOK262pFH,1.612560745,-0.289829699,-0.010957937,-0.00373353,0.00757696,-0.036078022,0.066992015,0.070090378,-0.165022242,-0.197724163,0.001654007,-0.024666604,0.00126785,0.006532372,0.001349292,0.003387873,0,-0.078446982,-0.029634371,-0.00634629,-0.003214326,7.02195E-05,-0.056947946,-0.044081527,-0.045176338
3,UOK262pFH,1.375249952,-0.307084705,-0.027072483,-0.012785877,0.005930992,-0.04808037,0.06080781,0.062531789,-0.204871307,0.175397547,0.001369355,-0.034460267,0.000885405,-0.001885257,0.002539698,0.001728704,0,-0.070970036,-0.038985293,-0.008779626,-0.004791452,-0.003426291,-0.097287576,-0.04420764,-0.079808769
3,UOK262pFH,1.519420288,-0.286599832,-0.013147744,-0.010785523,0.005243417,-0.058838236,0.054669414,0.061009582,-0.154305797,0.264096907,0.001436429,-0.032560197,0.001046969,-0.002905906,0.003053716,0.002825527,0,-0.071598155,-0.050308269,-0.007162903,-0.003953469,-0.002220519,-0.015722793,-0.013059435,-0.046652801
3,UOK262pFH,1.718603746,-0.283304172,-0.012111699,-0.008271982,0.006763448,-0.050332602,0.066559618,0.067847834,-0.13671905,0.1993665,0.001383589,-0.028349297,0.00112487,0.004169216,0.002047251,0.003081652,0,-0.026723568,-0.049102905,-0.007149737,-0.002866564,-0.001125388,-0.018845098,-0.021713353,-0.011897677
3,UOK262pFH,1.520180063,-0.288656488,-0.025608801,-0.014627102,0.005453367,-0.070694757,0.065892696,0.063657393,-0.181664697,-0.614318978,0.00212708,-0.030559163,0.001074412,0.003682399,0.001920375,0.002926998,0,-0.123335781,-0.076313797,-0.009488398,-0.005058253,-0.001463629,-0.072778117,-0.034542275,-0.061856084
3,UOK262pFH,1.657086292,-0.276775732,-0.007888039,-0.007942124,0.007306907,-0.033767582,0.064878704,0.069945652,-0.176619983,-0.235776113,0.002445226,-0.023905402,0.001021309,0.012401931,0.002494934,0.003071843,0,0.033564677,-0.013156687,-0.005101099,-0.00244843,-0.000224632,-0.046615642,-0.016094742,-0.045870063
