replicate,sample,lactate,pyruvate,phenylalanine,tyrosine,proline,threonine,alanine,glutamate,glutamine,glucose,aspartate,serine,asparagine,glycine,malate,aKG,fumarate,leucine+isoleucine,valine,methionine,tryptophan,succinate,lysine,histidine,arginine
1,UOK262,2.162368076,-0.445317756,-0.017447266,-0.011320724,0.010212791,-0.046775589,0.078459073,0.144001444,-0.255051784,-10.82791837,-0.002548385,-0.045829688,0.000596292,0.004604562,0.000400345,0.004611351,0.015637326,-0.264024016,-0.027185868,-0.011798711,-0.00492934,0.003592767,-0.037788455,-0.007738773,-0.030061072
1,UOK262,2.470319869,-0.455470561,0.012721742,-0.005739709,0.014337638,-0.00261172,0.098748227,0.151245002,-0.166906109,-11.01434771,-0.001501827,-0.026223614,0.000619605,0.03540103,0.000254018,0.008302555,0.039892077,0.048466581,-0.029648433,0.002596147,0.002146428,0.014115221,0.078474648,0.004018642,-0.052046107
1,UOK262,2.329042994,-0.418130699,-0.003140867,-0.008703114,0.014756988,-0.012119993,0.084520181,0.146458267,-0.230405721,-12.22836723,-0.001050602,-0.037983997,0.000604811,0.024762783,0.001431821,0.007778969,0.028316323,-0.078825272,-0.003955373,-0.000363699,-0.002156949,0.013352233,-0.082805462,-0.020414857,0.075248235
1,UOK262,2.475762094,-0.452073407,-0.006818729,-0.011168704,0.012636642,-0.093318653,0.089649094,0.150011903,-0.245766825,-12.46948175,-0.001186299,-0.033065261,0.00075654,0.019129461,0.000499625,0.008582265,0.032936063,-0.180016145,-0.048515,-0.008062269,-0.00194573,0.014953134,-0.060871048,-0.050419833,-0.046865203
1,UOK262,2.053217736,-0.451825014,-0.026694522,-0.013094142,0.011321366,-0.116682151,0.079888422,0.148566226,-0.266910207,-11.40005199,-0.001335961,-0.028502436,0.00036299,0.024387152,-0.000375873,0.006419717,0.027386184,-0.178566151,-0.048169476,-0.010955426,-0.004782602,0.007138064,-0.020319524,-0.081826376,-0.0641625
1,UOK262,2.344567539,-0.467340853,0.000218497,-0.00767672,0.016151489,-0.071339296,0.085700037,0.143588458,-0.218791023,-10.22561156,-0.002571467,-0.038311402,0.000494355,0.016799172,-0.000176621,0.008190294,0.018706773,0.031159623,-0.022700644,-0.006813196,-0.003018571,0.010444233,-0.003684144,0.019884581,-0.053926628
1,UOK262pFH,1.426964381,-0.219578677,-0.00853433,-0.006747861,0.006238777,-0.035102226,0.061031056,0.046088285,-0.115173752,-2.997061638,0.000452317,-0.026110589,0.001125756,0.004782481,0.002410188,0.003009699,0.001190019,-0.081609958,-0.039319732,-0.005482572,-0.002026614,-0.001275023,-0.045279209,-0.023511748,-0.031326552
1,UOK262pFH,1.357578451,-0.213645854,-0.008933005,-0.007597578,0.005657124,-0.027925643,0.057561617,0.045753758,-0.113094515,-3.093566955,-9.42777E-05,-0.02496857,0.001304568,0.005068179,0.00177793,0.003303515,0.002227048,-0.100106234,-0.047335661,-0.006847035,-0.003277296,-0.0017886,-0.045957484,-0.019000408,-0.039026411
1,UOK262pFH,1.376209902,-0.218548207,-0.01070674,-0.007686874,0.007081164,-0.027511822,0.068281526,0.047103427,-0.12514583,-3.774905615,0.000413641,-0.026846729,0.001223777,0.00606086,0.001221081,0.003309749,0.001551446,-0.097277724,-0.036177492,-0.00495175,-0.00287503,-0.00200236,-0.054430796,-0.016957757,-0.040096225
1,UOK262pFH,1.482043383,-0.214296061,-0.005569344,-0.005102407,0.006597584,-0.021270055,0.061385997,0.045512638,-0.092991769,-1.913360312,7.85893E-05,-0.023351963,0.001101853,0.006049065,0.00267495,0.002917333,0.000981565,-0.070314421,-0.020642441,-0.005082821,-0.001470088,0.000428558,-0.021637876,-0.005929707,-0.000149389
