,aKG,alanine,arginine,asparagine,aspartate,fumarate,glucose,glutamate,glutamine,glycine,histidine,lactate,leucine+isoleucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
180716_262_1,0.0190540393495,0.132660543365,-0.0379159411968,0.00103524370084,-0.00445227216186,0.0264230974202,-15.7784935401,0.245781991773,-0.431265450471,0.00780709120996,-0.0134376959246,3.75397239368,-0.454727173002,-0.0546946767875,0.000695317209463,-0.0203171335464,-0.0301671635236,0.0176994096109,-0.767343308708,-0.0776602355512,0.00623732288042,-0.080163464553,-0.00852120624409,-0.0413326940308,-0.0471924981396
180716_262_2,0.0309899895438,0.166718215133,-0.0657843296889,0.00107580884398,-0.00262223488564,0.0686927487322,-16.0534624265,0.258090487035,-0.282156376906,0.0599860261386,0.0069779560947,4.28855600101,0.083474449565,0.11395517842,0.000441190075976,0.004470271054,0.0219965053234,0.0248465067522,-0.784860939247,-0.044421814705,0.0245046613326,-0.00447232024242,0.00371022974898,-0.0209888409626,-0.0514673278528
180716_262_3,0.0293792841784,0.142843820196,0.0945072512134,0.00105006621514,-0.00183398768992,0.0485380496432,-17.8471281139,0.249957080818,-0.389566606945,0.0419668402099,-0.0354485040738,4.04330958184,-0.135746677706,-0.120217184045,0.00248663163298,-0.000625843492809,-0.00543013820003,0.0255730700441,-0.72044073179,-0.0643566060136,0.0231801073677,-0.0207675748442,-0.00372838957745,-0.0317939009396,-0.00686611291552
180716_262_4,0.0318414854977,0.151454826093,-0.0592094696685,0.0013140607998,-0.00207100344514,0.0565848512142,-18.2040210239,0.255995398058,-0.415555511225,0.0324228006835,-0.0875491703327,4.29800328096,-0.310029702206,-0.0882753455558,0.000867736389338,-0.0138823630132,-0.0117893856592,0.0218992922357,-0.778999360665,-0.0560179746437,0.0259592807382,-0.159941316372,-0.00336325986935,-0.0407788607512,-0.0842183031136
180716_262_5,0.0250839620554,0.135062708026,-0.0811792308216,0.000629223885034,-0.00233244306977,0.0469173002062,-16.6227401252,0.253539008289,-0.451330791817,0.0413304899656,-0.142083344935,3.56449327129,-0.307532267164,-0.0293029380003,-0.000652776131672,-0.018864809125,-0.0461570542153,0.0196203046007,-0.778570778763,-0.0482839749024,0.012392149434,-0.199991504498,-0.00826751904828,-0.0477922544324,-0.0836184983283
180716_262_6,0.0306465181274,0.144825184737,-0.0681719808116,0.000857855718845,-0.00449267896577,0.0317818583691,-14.8909672308,0.245080130431,-0.369917538613,0.0284743308434,0.0345277074666,4.07025912621,0.0536695505586,-0.00514019032323,-0.00030672017042,-0.0117313755124,0.000378346124211,0.027989122146,-0.805343479671,-0.0649116998959,0.0181317706773,-0.122266080783,-0.00521788165249,-0.0280522342712,-0.0394064851524
180716_pFH_1,0.0106751639394,0.102291848026,-0.039786666045,0.00195687904864,0.000789190927784,0.00182323618696,-4.36764152984,0.0786114450992,-0.194832603808,0.0081061460128,-0.0408257974896,2.47712705454,-0.140558222979,-0.0659143698162,0.0041850663347,-0.00944182807015,-0.0147566898442,0.0108103427605,-0.378826191308,-0.0442856349731,-0.00221356976753,-0.0601656398346,-0.0035035233112,-0.0245895837617,-0.0682562472134
180716_pFH_2,0.011512209424,0.096538913977,-0.0496737478823,0.00226762004149,-0.000164493133538,0.00364115509481,-4.51002964124,0.0780433935754,-0.191311240857,0.00859023676264,-0.0329923373418,2.35668619447,-0.172419173173,-0.066906443487,0.00308733482438,-0.0117923665888,-0.0154460810213,0.00980273235419,-0.368557106654,-0.0423452279566,-0.00310520375967,-0.0478630839057,-0.00566616388262,-0.0276754664525,-0.0821713967844
180716_pFH_3,0.011529786821,0.114296987592,-0.0510510822573,0.00212722457827,0.000721736731585,0.00245734204385,-5.51891942588,0.0803350910295,-0.211723452079,0.0102721341158,-0.0294454881424,2.3890269278,-0.167546792221,-0.0793101063692,0.00212046916908,-0.00852746828799,-0.0185132656074,0.0122695503159,-0.377042341304,-0.045536605744,-0.00347631977262,-0.0471537129094,-0.00497053519138,-0.0279996396041,-0.0628015213641
180716_pFH_4,0.0104084019853,0.102880090801,-0.000172125788963,0.00191533760086,0.000137218668311,0.00145717840396,-2.77642489394,0.0776339401015,-0.157273799284,0.0102521494712,-0.0102963847294,2.57273339377,-0.121101742074,-0.0314081716044,0.00464472901085,-0.00875323749785,-0.00962972979039,0.0114318896554,-0.369682402081,-0.0395990545529,0.000744014587129,-0.0364544048124,-0.00254132142769,-0.0186079416408,-0.0358337277177
